loss,accuracy
5.0788,0.0469
5.0380,0.0352
5.0186,0.0742
4.9091,0.0430
5.1152,0.0430
5.1163,0.0430
4.9771,0.0195
4.9349,0.0508
4.9507,0.0391
5.0558,0.0391
4.9366,0.0430
5.0217,0.0352
5.0578,0.0391
4.8947,0.0625
4.9735,0.0312
5.0238,0.0508
5.0971,0.0469
5.0925,0.0195
5.0134,0.0586
5.1497,0.0391
5.2392,0.0234
4.9960,0.0469
5.0902,0.0391
5.0956,0.0312
5.1833,0.0312
5.1203,0.0508
5.1003,0.0273
4.9743,0.0664
5.1517,0.0273
5.1173,0.0312
5.1671,0.0391
5.2124,0.0273
5.0255,0.0391
5.1252,0.0469
5.1916,0.0273
5.1052,0.0234
5.1170,0.0273
5.1743,0.0547
5.0394,0.0312
5.1460,0.0430
5.0090,0.0391
5.1058,0.0547
5.0084,0.0391
5.0868,0.0430
5.0593,0.0547
5.0606,0.0547
5.0874,0.0508
5.1233,0.0156
4.9128,0.0156
5.0883,0.0391
5.1714,0.0703
5.0785,0.0547
5.2115,0.0469
5.1114,0.0156
5.0042,0.0430
5.1237,0.0078
5.0857,0.0273
5.1880,0.0234
5.1218,0.0352
5.0945,0.0469
5.1423,0.0469
5.1843,0.0312
5.0693,0.0430
5.0171,0.0352
5.0942,0.0312
5.0726,0.0586
4.8987,0.0859
5.0882,0.0273
5.1345,0.0391
4.9444,0.0391
5.0815,0.0352
4.9720,0.0508
4.9816,0.0469
5.1400,0.0625
5.0519,0.0469
5.1519,0.0312
4.8775,0.0625
5.0443,0.0469
5.0976,0.0625
5.0725,0.0547
5.3055,0.0469
5.0991,0.0469
4.9118,0.0469
5.1007,0.0312
5.0112,0.0430
5.1477,0.0469
4.9627,0.0625
4.8659,0.0391
4.9878,0.0312
4.9888,0.0547
4.9948,0.0664
5.3156,0.0312
4.9385,0.0625
4.9967,0.0391
5.0265,0.0469
4.9671,0.0547
4.9828,0.0508
5.1546,0.0312
4.9740,0.0547
5.0165,0.0586
5.1041,0.0234
4.8761,0.0391
5.0193,0.0469
5.0387,0.0508
4.8970,0.0586
5.0888,0.0547
5.0924,0.0430
4.9282,0.0625
5.0208,0.0625
5.0342,0.0391
5.0780,0.0508
4.9881,0.0430
4.9255,0.0742
5.2175,0.0312
5.0506,0.0469
5.0337,0.0469
5.0158,0.0664
5.0768,0.0742
5.0839,0.0391
5.0787,0.0508
5.0126,0.0469
5.3430,0.0234
5.0050,0.0664
5.0000,0.0508
5.0714,0.0508
5.0002,0.0703
4.9341,0.0469
4.9950,0.0469
5.0384,0.0195
5.2382,0.0195
5.1512,0.0352
5.1189,0.0312
5.0781,0.0703
4.9761,0.0352
5.1388,0.0234
4.9587,0.0352
5.0991,0.0430
5.1277,0.0586
5.0663,0.0430
4.9357,0.0664
5.1799,0.0273
5.2193,0.0469
5.0933,0.0625
5.1500,0.0430
5.0503,0.0234
5.1009,0.0352
4.9682,0.0312
5.0266,0.0781
5.0321,0.0547
4.9765,0.0391
5.0748,0.0547
5.3093,0.0508
5.1048,0.0508
